name,latitude,longitude
Aberfeldie Dam,49.4989,-115.3506
Alouette Lake,49.2861,-122.4872
Ash River,49.3750,-125.1533
Bridge River,50.7317,-122.2415
Cheakamus,49.9344,-123.2892
Clowhom,49.7114,-123.5353
Elko,49.2894,-115.1042
Falls River,53.9831,-129.7342
Gordon M. Shrum,56.0161,-122.2053
John Hart,50.0431,-125.3106
Jordan River,48.4769,-123.9975
Kootenay Canal,49.4528,-117.5153
Ladore,50.0147,-125.3908
La Joie,50.8372,-122.8581
Lake Buntzen,49.3750,-122.8686
Mica,52.0764,-118.5667
Peace Canyon,55.9825,-121.9928
Puntledge,49.6875,-125.0342
Revelstoke,51.0542,-118.1944
Ruskin,49.1953,-122.4078
Seton,50.6731,-121.9242
Seven Mile,49.0297,-117.5031
Shuswap,50.2956,-118.8125
Site C Dam,56.1947,-120.9142
Spillimacheen,50.9031,-116.4092
Stave Falls,49.2294,-122.3547
Strathcona,49.9967,-125.0656
Wahleach,49.2503,-121.6056
Walter Hardman,50.8100,-118.0647
Waneta Dam,49.0042,-117.6119
Whatshan,49.9164,-118.1167
