x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.1,1992-05-01 00:00:00,BC,1992,5,1,9.4,,4.9,,13.8,,0,,,,,,,,,,,,0,,8.6,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.2,1992-05-02 00:00:00,BC,1992,5,2,12.9,,8,,17.7,,0,,,,,,,,,,,,0,,5.1,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.3,1992-05-03 00:00:00,BC,1992,5,3,13.2,,8.6,,17.8,,0,,,,,,,,,,,,0,,4.8,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.4,1992-05-04 00:00:00,BC,1992,5,4,14.7,,10.5,,18.9,,0,,,,,,,,,,,,0,,3.3,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.5,1992-05-05 00:00:00,BC,1992,5,5,12.5,,8.7,,16.3,,0,,,,,,,,,,,,0,,5.5,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.6,1992-05-06 00:00:00,BC,1992,5,6,14.5,,9.1,,19.9,,0,,,,,,,,,,,,0,,3.5,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.7,1992-05-07 00:00:00,BC,1992,5,7,12.7,,10.1,,15.3,,0,,,,,,,,,,,,0,,5.3,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.8,1992-05-08 00:00:00,BC,1992,5,8,11.1,,9.4,,12.8,,2,,,,,,,,,,,,0,,6.9,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.9,1992-05-09 00:00:00,BC,1992,5,9,9.8,,8.4,,11.1,,9.4,,,,,,,,,,,,0,,8.2,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.10,1992-05-10 00:00:00,BC,1992,5,10,9.9,,8.2,,11.5,,1,,,,,,,,,,,,0,,8.1,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.11,1992-05-11 00:00:00,BC,1992,5,11,10.2,,5.6,,14.7,,3.4,,,,,,,,,,,,0,,7.8,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.12,1992-05-12 00:00:00,BC,1992,5,12,9.1,,3.6,,14.5,,0,,,,,,,,,,,,0,,8.9,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.13,1992-05-13 00:00:00,BC,1992,5,13,12.2,,5.6,,18.7,,0,,,,,,,,,,,,0,,5.8,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.14,1992-05-14 00:00:00,BC,1992,5,14,12.7,,8.4,,16.9,,0,,,,,,,,,,,,0,,5.3,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.15,1992-05-15 00:00:00,BC,1992,5,15,11.7,,8.2,,15.2,,0,,,,,,,,,,,,0,,6.3,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.16,1992-05-16 00:00:00,BC,1992,5,16,13.8,,6.7,,20.9,,0,,,,,,,,,,,,0,,4.2,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.17,1992-05-17 00:00:00,BC,1992,5,17,15,,9.3,,20.7,,0,,,,,,,,,,,,0,,3,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.18,1992-05-18 00:00:00,BC,1992,5,18,13.8,,10.3,,17.2,,0,,,,,,,,,,,,0,,4.2,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.19,1992-05-19 00:00:00,BC,1992,5,19,12.9,,9.5,,16.3,,0,,,,,,,,,,,,0,,5.1,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.20,1992-05-20 00:00:00,BC,1992,5,20,11.8,,8.9,,14.7,,0,,,,,,,,,,,,0,,6.2,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.21,1992-05-21 00:00:00,BC,1992,5,21,9.4,,5.1,,13.7,,0,,,,,,,,,,,,0,,8.6,,,,,
-123.92102777777778,48.376694444444446,SHERINGHAM POINT,1017254,1017254.1992.5.22,1992-05-22 00:00:00,BC,1992,5,22,11,,5.8,,16.2,,0,,,,,,,,,,,,0,,7,,,,,
