x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.1,1982-05-01 00:00:00,BC,1982,5,1,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.2,1982-05-02 00:00:00,BC,1982,5,2,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.3,1982-05-03 00:00:00,BC,1982,5,3,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.4,1982-05-04 00:00:00,BC,1982,5,4,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.5,1982-05-05 00:00:00,BC,1982,5,5,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.6,1982-05-06 00:00:00,BC,1982,5,6,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.7,1982-05-07 00:00:00,BC,1982,5,7,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.8,1982-05-08 00:00:00,BC,1982,5,8,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.9,1982-05-09 00:00:00,BC,1982,5,9,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.10,1982-05-10 00:00:00,BC,1982,5,10,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.11,1982-05-11 00:00:00,BC,1982,5,11,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
-123.16119444444445,49.783208333333334,SQUAMISH AIRPORT,10476F0,10476F0.1982.5.12,1982-05-12 00:00:00,BC,1982,5,12,,M,,M,,M,,M,,M,,M,,M,,,,,,M,,M,,,,
