station_id,name,latitude,longitude
1176750,Revelstoke,51.0000,-118.2000
1175122,Mica Dam,52.0531,-118.5853
1148700,Warfield,49.1000,-117.7500
1146944,Salmo BCFS,49.1833,-117.3000
1147620,South Slocan,49.4601,-117.5229
1145M29,Nelson CS,49.4914,-117.3053
1150060,Aberfeldie,49.5000,-115.3667
1177640,Spillimacheen,50.9167,-116.4000
1152970,Elko,49.3000,-115.1167
1150690,Baynes Lake Kootenay River,49.2260,-115.2205
1152851,Fernie Snow Valley,49.4667,-115.1000
1148670,Waneta,49.0167,-117.5833
1167260,Shuswap Falls,50.3000,-118.8167
1177290,Sidmouth,50.7833,-118.0167
1183629,Hudson Hope,56.0333,-121.9000
1027775,Strathcona Dam,50.0000,-125.5833
10277GN,Strathcona Park Lodge,49.8833,-125.6500
1021260,Campbell River,50.0167,-125.3000
1021989,Courtenay Puntledge,49.6698,-125.0328
1016780,River Jordan,48.4167,-124.0500
1034725,Lowry Lake,49.4333,-125.1333
1030550,Ash River,49.4667,-125.0833
1090990,Bridge River,50.7333,-122.2167
1117215,Shalalth,50.7283,-122.2406
1114619,Lillooet,50.6837,-121.9342
1114992,Mcgillivary Falls,50.6167,-122.4333
1084490,Lajoie Dam,50.8333,-122.8667
1080930,Bralorne,50.7833,-122.8167
1107680,Stave Falls,49.2333,-122.3667
1106910,Ruskin,49.1667,-122.4167
1108920,Whonnock,49.2133,-122.4750
1106CL2,Port Moody Glenayre,49.4569,-122.8814
1047672,Squamish Upper,49.8958,-123.2814
1047673,Squamish 10 Mile,49.8167,-123.2000
1100120,Agassiz CDA,49.2431,-121.7603
1101140,Buntzen Lake,49.3833,-122.8667
1041710,Clowhom Falls,49.7167,-123.5333
1100370,Alouette Power House,49.3667,-122.5278
1100360,Alouette Lake,49.2833,-122.4833
